Date,SKU,Product Name,Total Tools Price,Total Tools Stock,Sydney Tools Price,Sydney Tools Stock,# Suppliers,Cheapest,Highest,Market Avg,ITM Match Price,Pricing Rule
2026-06-25,WSBCHAGS-I,Work Sharp WSBCHAGS-I Angle Set Knife Sharpener with Tri-Brasive,120,Yes,120,Yes,2,120,120,120,120,TT and ST same — matched at $120
2026-06-25,WSBCHBSS-I,Work Sharp WSBCHBSS-I Benchstone Knife Sharpener with Tri-Brasive & Pivot-Response,115,Yes,115,Yes,2,115,115,115,115,TT and ST same — matched at $115
2026-06-25,WSBCHPAJ-ELT,Work Sharp WSBCHPAJ-ELT Benchtop Precision Adjust Elite Knife Sharpener,333,Yes,333,Yes,2,333,333,333,333,TT and ST same — matched at $333
2026-06-25,WSBCHPAJ-I,Work Sharp WSBCHPAJ-I Precision Adjust Knife Sharpener with Tri-Brasive,135,Yes,135,Yes,2,135,135,135,135,TT and ST same — matched at $135
2026-06-25,WSBCHPAJ-PRO-ELT,WORKSHARP 15°/30° with Guides & Belts Elite Knife Sharpener,1099,Yes,,,1,1099,1099,1099,1099,Matched Total Tools $1099 (ST not listed)
2026-06-25,WSBCHPAJ-PRO-I,WORKSHARP Professional Precision Adjust Knife Sharpener,579,Yes,,,1,579,579,579,579,Matched Total Tools $579 (ST not listed)
2026-06-25,WSBCHWHT-I,Work Sharp WSBCHWHT-I Whetstone Knife Sharpener,89,Yes,89,Yes,2,89,89,89,89,TT and ST same — matched at $89
2026-06-25,WSEDCFFS,Work Sharp WSEDCFFS Folding Field Sharpener,,,69,Yes,1,69,69,69,69,Matched Sydney Tools $69 (TT not listed)
2026-06-25,WSEDCPVP-I,Work Sharp WSEDCPVP-I Pivot Plus Knife Sharpener with Pivot-Response and Convex-Carbide,31,Yes,31,Yes,2,31,31,31,31,TT and ST same — matched at $31
2026-06-25,WSEDCPVT-I,Work Sharp WSEDCPVT-I Pivot Knife Sharpener with Pivot-Response and Convex-Carbide,19,Yes,19,Yes,2,19,19,19,19,TT and ST same — matched at $19
2026-06-25,WSGFS221,WORK SHARP 20-25DEG Guided Field Sharpener,79,Yes,79,Yes,2,79,79,79,79,TT and ST same — matched at $79
2026-06-25,WSHHDPVT-I,Work Sharp WSHHDPVT-I Pivot Pro Knife Sharpener with Pivot-Response and Convex Carbide,31,Yes,31,Yes,2,31,31,31,31,TT and ST same — matched at $31
2026-06-25,WSKTS-KO,Work Sharp WSKTS-KO Ken Onion Edition Knife & Tool Sharpener,,,449,Yes,1,449,449,449,449,Matched Sydney Tools $449 (TT not listed)
2026-06-25,WSKTS-KO2,Work Sharp WSKTS-KO2 240V Ken Onion Edition Knife & Tool Sharpener MK.2,469,Yes,469,Yes,2,469,469,469,469,TT and ST same — matched at $469
2026-06-25,WSKTS2-I,WORK SHARP 240V WORK SHARP MK2 Knife & Tool Sharpener,259,Yes,259,Yes,2,259,259,259,259,TT and ST same — matched at $259
2026-06-25,WSPP0002759,Work Sharp WSPP0002759 Storage Bag,,,59,Yes,1,59,59,59,59,Matched Sydney Tools $59 (TT not listed)
2026-06-25,WSSA0002002,WORK SHARP 3000 Slotted Abrasive Kit - 6 Piece,55.55,Yes,,,1,55.55,55.55,55.55,55.550000000000004,Matched Total Tools $55.55 (ST not listed)
2026-06-25,WSSA0002005,WORK SHARP 2000 & 3000 Coarse Abrasive Kit - 9 Piece,55.55,Yes,,,1,55.55,55.55,55.55,55.550000000000004,Matched Total Tools $55.55 (ST not listed)
2026-06-25,WSSA0002012,"WORK SHARP P80, P220 & 6000 Grit Replacement Belt Pack Suits WSKTS-2 - 6 Piece",35,Yes,35,Yes,2,35,35,35,35,TT and ST same — matched at $35
2026-06-25,WSSA0002029,WORK SHARP 3000 Slotted Wheel,74.45,Yes,,,1,74.45,74.45,74.45,74.45,Matched Total Tools $74.45 (ST not listed)
2026-06-25,WSSA0002043,WORK SHARP 2000 & 3000 Fine Abrasive Kit - 13 Piece,49.3,Yes,,,1,49.3,49.3,49.3,49.300000000000004,Matched Total Tools $49.3 (ST not listed)
2026-06-25,WSSA0002044,WORK SHARP 3000 150mm Micro Mesh Abrasive Kit - 2 Piece,53,Yes,,,1,53,53,53,53,Matched Total Tools $53 (ST not listed)
2026-06-25,WSSA0002703,WORK SHARP P80 Grit Replacement Belt Pack Suits WSKTS-2 - 6 Piece,35,Yes,,,1,35,35,35,35,Matched Total Tools $35 (ST not listed)
2026-06-25,WSSA0002704,Work Sharp WSSA0002704 Abrasives for the Knife & Tool Sharpener (Brown P220 6PK),33,Yes,32.98,Yes,2,32.98,33,32.99,33,Midpoint TT $33 / ST $32.98
2026-06-25,WSSA0002705,Work Sharp WSSA0002705 Abrasives for the Knife & Tool Sharpener (Grey 6000 6PK),33,Yes,32.98,Yes,2,32.98,33,32.99,33,Midpoint TT $33 / ST $32.98
2026-06-25,WSSA0003300-C,Work Sharp WSSA0003300-C Upgrade Kit - Guided Sharpening System,,,135,Yes,1,135,135,135,135,Matched Sydney Tools $135 (TT not listed)
2026-06-25,WSSA0004772,Work Sharp WSSA0004772 Benchtop Precision Adjust Upgrade Kit,,,189,Yes,1,189,189,189,189,Matched Sydney Tools $189 (TT not listed)
2026-06-25,WSSAKO81112,WORK SHARP Blade Grinding Attachment,335,Yes,,,1,335,335,335,335,Matched Total Tools $335 (ST not listed)
2026-06-25,WSSAKO81113,Work Sharp WSSAKO81113 Abrasives for the Ken Onion Edition Knife & Tool Sharpener (Assorted 5PK),,,46,Yes,1,46,46,46,46,Matched Sydney Tools $46 (TT not listed)
2026-06-25,WSSAKO81119,Work Sharp WSSAKO81119 Abrasives for the Ken Onion Edition Knife & Tool Sharpener (X22 1000 Grit 5PK),,,46,Yes,1,46,46,46,46,Matched Sydney Tools $46 (TT not listed)
2026-06-25,WSSAKO81120,Work Sharp WSSAKO81120 Abrasives for the Ken Onion Edition Knife & Tool Sharpener (X4 3000 Grit 5PK),,,44.01,Yes,1,44.01,44.01,44.01,44,Matched Sydney Tools $44.01 (TT not listed)